"","day_of_infection","latitude","longitude","population_density","median_age","aged_65_older","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","border_closure","wear_protective_gear_in_public_requirement","businesses_and_public_services_closure","curfews","economic_measures","suspension_international_flights","imports_exports_limit","gatherings_limit","partial_lockdown","schools_closure","established_emergency","quarantine_isolation_policies","full_lockdown","mass_testing","checkpoints_within_the_country","military_deployment","Africa","Asia","Europe","North.America","Oceania","South.America","AFRO","AMRO","EMRO","EURO","SEARO","WPRO","airports_per_pop","temperatura","precip","PERC_POBLACION_RURAL","prison_pop","diabetes","expend__health_public","HIV","lit_rate","non_transm_mortality","num_physicians","tuberculosis","log_population","log_gdp_per_capita","log_n_airports","log_turismo","cumulative_cases"
"136",49,9.082,8.6753,209.588,18.1,2.751,33.88,181.013,2.42,0.6,10.8,41.949,0,54.69,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.261958417526082,26.7822145517,1138.53188956,49.656,32,3.1,0.532657699659467,1.5,62.01601,22.5,0.3806,219,19.1440641089292,8.58287867953563,4.00733318523247,12.6083075585384,373
"137",46,41.6086,21.7453,82.6,39.1,13.26,5,322.688,10.08,19.27,37.06,86.4812,4.28,75.8,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4.79989248240839,9.85351818182,632.503834118,42.037,134.5,9.3,4.08303588628769,0.1,97.8,20.3,2.8736,13,14.5495026127827,9.48129944121787,2.39789527279837,13.4687873593049,828
"138",39,15.135168,145.699249,119.878,32.8,7.23,2.32,194.994,0,5.07,25.89,82.3846,0,76.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,85.4910995082925,26.2098152801,2396.028030087,8.38200000000001,196.2,5.27,3.5189295001328,0.41,95.911026,18.85,2.27071,95,10.960548414046,10.3102436563635,2.0187885191124,13.1558000877247,15
"139",33,60.472,8.4689,14.462,39.7,16.821,0.2,114.316,5.31,19.6,20.7,85.3937,3.6,82.4,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17.5236597074988,0.753892465738,1051.84074138,17.752,72,5.3,8.92880782485008,0.1,99.563811,9.2,2.9164,4.1,15.5058356829158,11.0790771939357,4.56434819146784,15.5538694262739,4102
"140",30,31.9522,35.2332,778.202,20.4,3.043,1,265.91,10.59,5.65,31.61,76.8541,0,74.05,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.23631314487713,18.47082363317,116.77963333838,23.836,255.6,9.5,2.6273612305522,0.33,97.21861,18.62,1.9697,0.77,15.4450289022406,8.40086115255467,2.27625771447844,13.3146369152151,205
"141",37,21,57,14.98,30.7,2.355,0.1,266.342,12.61,0.5,15.6,97.4,1.6,77.86,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,25.8487900612186,25.454102757,88.2071067955,15.461,61,10.1,3.37728224694729,0.2,95.65153,17.8,2.0031,5.9,15.4460488826582,10.5443332727853,4.89034912822175,14.6488548036111,210
"142",42,30.3753,69.3451,255.573,23.5,4.495,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.683590957261436,19.9810149025,301.017805117,63.334,39,19.9,0.915535353124142,0.1,59.13205,24.7,0.9801,265,19.2131859552482,8.52430941095737,5.02388052084628,14.6441192777596,4183
"143",31,8.538,-80.7821,55.133,29.7,7.918,2.2,128.346,8.33,2.4,9.9,75.5473,2.3,78.51,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27.1161740329955,24.7223333512,2487.02656047,32.291,411,7.7,4.38573360443115,0.9,95.41181,13,1.5687,52,15.2775543468836,10.0109076108792,4.77068462446567,14.3949295334198,2528
"144",39,-23.4425,-58.4438,17.144,26.5,6.378,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,112.021961351722,23.4801900351,1093.89459594,38.415,118,9.6,3.02581451833248,0.5,94.0208,17.5,1.3544,43,15.7801767083625,9.08568490013539,6.68461172766793,13.9818729419192,161
"145",33,-9.19,-75.0152,25.129,29.1,7.151,3.5,85.755,5.95,4.8,0,67.7581,1.6,76.74,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5.79282094184232,19.4565089518,1513.24211891,22.093,202,6.6,3.16451340913773,0.3,94.40827,12.6,1.3048,123,17.3111646341036,9.41227712020066,5.25749537202778,15.3014242104084,2954
"146",67,13,122,351.873,25.2,4.803,1.2,370.437,7.07,7.8,40.8,78.463,1,71.23,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2.25403864179662,25.3266741931,2317.59269526,53.093,111,7.1,1.41886975616217,0.1,98.18255,26.8,0.6004,554,18.5121753445931,8.93592826281058,5.51342874616498,15.7851373731458,3246
"147",32,51.9194,19.1451,124.027,41.8,16.763,0.2,227.331,5.91,23.3,33.1,93.7604,6.62,78.73,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.32922860584192,7.86883191521,600.659095624,39.942,217,6.1,4.51180674135685,0.19,99.130658,18.7,2.3788,16,17.4490518640782,10.2116134069946,4.84418708645859,16.7921619946687,4102
"148",33,39.3999,-8.2245,112.371,46.2,21.502,0.5,127.842,9.85,16.3,30,88.519,3.39,82.05,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.27653614054027,14.9703808743,835.346832275,34.789,136,9.8,5.9428621083498,0.5,96.13759,11.1,5.124,24,16.1375754810631,10.2377393257521,4.17438726989564,16.5996572908196,9886
"149",35,18.231316,-66.460258,376.232,38.2,15.168,1.49,108.094,12.9,8.22,24.03,82.3723,0,80.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10.1368828735616,24.27766673,2126.0209554,6.422,690.8,13.7,4.85274842008949,1.39,92.39,14.37,3.01856,0.95,14.8666261955141,10.4644073470282,3.40119738166216,14.9365367674145,1068
