,day_of_infection,latitude,longitude,population_density,median_age,aged_65_older,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,border_closure,wear_protective_gear_in_public_requirement,businesses_and_public_services_closure,curfews,economic_measures,suspension_international_flights,imports_exports_limit,gatherings_limit,partial_lockdown,schools_closure,established_emergency,quarantine_isolation_policies,full_lockdown,mass_testing,checkpoints_within_the_country,military_deployment,Africa,Asia,Europe,North America,Oceania,South America,AFRO,AMRO,EMRO,EURO,SEARO,WPRO,airports_per_pop,temperatura,precip,PERC_POBLACION_RURAL,prison_pop,diabetes,expend__health_public,HIV,lit_rate,non_transm_mortality,num_physicians,tuberculosis,log_population,log_gdp_per_capita,log_n_airports,log_turismo
151,36.0,47.4116,28.3699,123.655,37.6,10.864,0.2,408.50199999999995,5.72,5.9,44.6,86.979,5.8,71.9,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7352662877671399,9.667174935630001,538.892749786,57.371,188.0,5.7,3.5497460514307004,0.6,99.35989,24.9,3.2066,86.0,15.210260073311705,8.554676241861612,2.0794415416798357,11.982935344196433
152,40.0,45.9432,24.9668,85.12899999999999,43.0,17.85,5.7,370.94599999999997,9.74,22.9,37.1,83.8239,6.892,76.05,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.33915915649297,8.811245524910001,642.208362579,46.001999999999995,155.0,6.9,4.0533933788538,0.1,98.8445,21.4,2.9807,68.0,16.772381569754593,10.056817853087168,3.828641396489095,16.27680742743737
153,70.0,60.0,90.0,8.823,39.6,14.177999999999999,0.1,431.29699999999997,6.18,23.4,58.3,87.3772,8.05,72.58,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.346212402471629,-6.32129447871,434.795213565,25.566999999999997,475.0,6.1,3.05115282535553,0.7699999999999999,99.73006,25.4,4.0139,54.0,18.7986681816278,10.117265543585516,7.105786129481271,17.01626318530432
154,32.0,-1.9403,29.8739,494.869,20.3,2.9739999999999998,56.0,191.375,4.28,4.7,21.0,4.617,0.0,69.02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.54044835131984,19.011899947,1162.80355835,82.789,492.0,5.1,2.25612297654152,2.5,73.21559,18.2,0.134,59.0,16.376776987920337,7.525753715203606,2.0794415416798357,13.2461744595854
155,41.0,17.357822,-62.782998,212.865,36.5,10.0,1.6400000000000001,0.0,12.84,4.22,21.98,90.0575,2.3,76.23,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.5996390434652,21.347457128987003,1712.3975207202998,69.22399999999999,714.0,13.3,2.34724264591932,1.73,96.87428100000001,18.28,2.6758,0.0,10.881682087725098,10.112750614030121,1.0986122886681096,11.736077016252437
156,47.0,13.9094,-60.9789,293.187,34.9,9.721,3.21,204.62,11.62,4.29,20.060000000000006,87.20200000000001,1.3,76.2,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.891525848313698,25.63039173071,2026.0033859050004,81.322,317.0,11.6,2.22526714205742,1.56,89.86052800000002,18.8,0.6409,3.2,12.120678142513226,9.469070270900009,1.0986122886681096,12.886643575525625
157,58.0,12.9843,-61.2872,281.78700000000003,31.8,7.724,4.2700000000000005,252.675,11.62,3.9,22.46,78.603,2.6,72.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.079875976817796,26.81999969,1585.97009277,47.802,376.0,11.6,2.88701932877302,1.67,91.959748,23.2,0.6648,6.3,11.616816902060368,9.280626034115741,1.9459101490553132,11.289794413577894
158,34.0,43.9424,12.4578,556.6669999999999,45.2,18.0,0.79,0.0,5.64,20.34,27.35,91.23190000000001,3.8,84.97,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,220.9559743941423,8.831068564896,1019.5724720412,2.7739999999999996,6.0,5.9,6.01250529289246,0.24000000000000005,99.91643,11.24,6.1094,0.0,10.432320074594577,10.948390824289639,1.7572027725753454,11.338583982516495
159,52.0,0.18636,6.613081,212.84099999999998,18.7,2.886,32.3,270.113,2.42,2.54,24.61,41.34,2.9,70.39,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.12571123511939,24.389477308500002,1553.6792413672,27.197,128.0,2.4,2.8410622850060494,2.9099999999999997,92.81664,18.5,0.0531,124.0,12.297566461363587,8.02411383371818,1.0986122886681096,10.416341118636355
160,35.0,24.0,45.0,15.322000000000001,31.9,3.295,1.4799999999999998,259.538,17.72,1.8,25.4,94.2096,2.7,75.13,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.14697585878639,24.6510073372,73.40345060189999,16.156,162.0,15.8,3.35191413760185,0.25,95.32863,16.4,2.6117,10.0,17.365526371109503,10.800522292081983,5.3706380281276624,16.54558320831553
